renderer,slot,material,path,shader,baseTexture,baseColor,color,isWhiteNoTexture,isTextureAssigned
"Blender Indoor Scene/9999999999999",0,"Material #84_24160_lilToon","Assets/SceneExport/MaterialsLilToon/Material #84_24160_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/077_贴图 _69_b2a0164d74.png","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Aircraft_055",0,"_Aircraft_055_24386_lilToon","Assets/SceneExport/MaterialsLilToon/_Aircraft_055_24386_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.800 0.800 1.000","0.800 0.800 0.800 1.000",False,False
"Blender Indoor Scene/Arc004",0,"金属黑.001_24024_lilToon","Assets/SceneExport/MaterialsLilToon/金属黑.001_24024_lilToon.mat","Universal Render Pipeline/Lit","","0.050 0.045 0.070 1.000","0.050 0.045 0.070 1.000",False,False
"Blender Indoor Scene/Blender Bros Emissive Pack2.1_012",0,"_Blender Bros Emissive Pack2.1_012.001_23692_lilToon","Assets/SceneExport/MaterialsLilToon/_Blender Bros Emissive Pack2.1_012.001_23692_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.800 0.800 1.000","0.800 0.800 0.800 1.000",False,False
"Blender Indoor Scene/Box001",0,"材质.004_23796_lilToon","Assets/SceneExport/MaterialsLilToon/材质.004_23796_lilToon.mat","Universal Render Pipeline/Lit","","0.549 0.314 0.323 1.000","0.549 0.314 0.323 1.000",False,False
"Blender Indoor Scene/Box002",0,"材质.025_23720_lilToon","Assets/SceneExport/MaterialsLilToon/材质.025_23720_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/053_贴图 _14_90bfdaaa22.jpg","0.642 0.460 0.254 1.000","0.642 0.460 0.254 1.000",False,True
"Blender Indoor Scene/Box002.001",0,"材质.031_24174_lilToon","Assets/SceneExport/MaterialsLilToon/材质.031_24174_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.717 0.500 1.000","0.800 0.717 0.500 1.000",False,False
"Blender Indoor Scene/Box003",0,"材质.012_23802_lilToon","Assets/SceneExport/MaterialsLilToon/材质.012_23802_lilToon.mat","Universal Render Pipeline/Lit","","0.254 0.245 0.356 1.000","0.254 0.245 0.356 1.000",False,False
"Blender Indoor Scene/Box011",0,"材质.012_23802_lilToon","Assets/SceneExport/MaterialsLilToon/材质.012_23802_lilToon.mat","Universal Render Pipeline/Lit","","0.254 0.245 0.356 1.000","0.254 0.245 0.356 1.000",False,False
"Blender Indoor Scene/Box014",0,"Material #72_24250_lilToon","Assets/SceneExport/MaterialsLilToon/Material #72_24250_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/066_贴图 _50_4d5c19b69d.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Box015",0,"Material #78_23742_lilToon","Assets/SceneExport/MaterialsLilToon/Material #78_23742_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/070_贴图 _56_68f8e71f31.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Box016",0,"Material #73_24200_lilToon","Assets/SceneExport/MaterialsLilToon/Material #73_24200_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/067_贴图 _51_db9910b3cf.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Box017",0,"材质.005_23728_lilToon","Assets/SceneExport/MaterialsLilToon/材质.005_23728_lilToon.mat","Universal Render Pipeline/Lit","","0.077 0.075 0.112 1.000","0.077 0.075 0.112 1.000",False,False
"Blender Indoor Scene/Box021.001",0,"材质.025_23720_lilToon","Assets/SceneExport/MaterialsLilToon/材质.025_23720_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/053_贴图 _14_90bfdaaa22.jpg","0.642 0.460 0.254 1.000","0.642 0.460 0.254 1.000",False,True
"Blender Indoor Scene/Box023",0,"Material #70_24050_lilToon","Assets/SceneExport/MaterialsLilToon/Material #70_24050_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/064_贴图 _48_abacd6fc86.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
"Blender Indoor Scene/Box024",0,"材质.024_23932_lilToon","Assets/SceneExport/MaterialsLilToon/材质.024_23932_lilToon.mat","Universal Render Pipeline/Lit","","0.140 0.232 0.380 1.000","0.140 0.232 0.380 1.000",False,False
"Blender Indoor Scene/Box034",0,"肌理_黑_23738_lilToon","Assets/SceneExport/MaterialsLilToon/肌理_黑_23738_lilToon.mat","Universal Render Pipeline/Lit","","0.050 0.104 0.359 1.000","0.050 0.104 0.359 1.000",False,False
"Blender Indoor Scene/Box034.001",0,"材质.003_24298_lilToon","Assets/SceneExport/MaterialsLilToon/材质.003_24298_lilToon.mat","Universal Render Pipeline/Lit","","0.492 0.800 0.267 1.000","0.492 0.800 0.267 1.000",False,False
"Blender Indoor Scene/Box034.002",0,"材质.021_23736_lilToon","Assets/SceneExport/MaterialsLilToon/材质.021_23736_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.312 0.323 1.000","0.800 0.312 0.323 1.000",False,False
"Blender Indoor Scene/Box034.003",0,"材质.012_23802_lilToon","Assets/SceneExport/MaterialsLilToon/材质.012_23802_lilToon.mat","Universal Render Pipeline/Lit","","0.254 0.245 0.356 1.000","0.254 0.245 0.356 1.000",False,False
"Blender Indoor Scene/Box036",0,"材质.021_23736_lilToon","Assets/SceneExport/MaterialsLilToon/材质.021_23736_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.312 0.323 1.000","0.800 0.312 0.323 1.000",False,False
"Blender Indoor Scene/Box039",0,"材质.012_23802_lilToon","Assets/SceneExport/MaterialsLilToon/材质.012_23802_lilToon.mat","Universal Render Pipeline/Lit","","0.254 0.245 0.356 1.000","0.254 0.245 0.356 1.000",False,False
"Blender Indoor Scene/Box040",0,"材质.018_24116_lilToon","Assets/SceneExport/MaterialsLilToon/材质.018_24116_lilToon.mat","Universal Render Pipeline/Lit","","0.800 0.057 0.029 1.000","0.800 0.057 0.029 1.000",False,False
"Blender Indoor Scene/Box042",0,"金属白_23690_lilToon","Assets/SceneExport/MaterialsLilToon/金属白_23690_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/094_集成板3_2_ac7dda95dc.png","0.015 0.015 0.015 1.000","0.015 0.015 0.015 1.000",False,True
"Blender Indoor Scene/Box048",0,"Material #62_23918_lilToon","Assets/SceneExport/MaterialsLilToon/Material #62_23918_lilToon.mat","Universal Render Pipeline/Lit","Assets/SceneExport/Textures/058_贴图 _39_d35001f6fd.jpg","0.588 0.588 0.588 1.000","0.588 0.588 0.588 1.000",False,True
